store_id,date,labor_hours,labor_cost
8,5/25/2025,47,1081
2,2/8/2025,41,738
10,6/18/2025,29,725
23,10/28/2025,57,1368
11,9/14/2025,60,960
19,9/15/2025,58,1450
16,8/6/2025,44,1056
21,4/6/2025,55,1210
22,8/21/2025,47,940
7,5/23/2025,27,513
3,6/27/2025,35,770
10,5/12/2025,57,1197
19,1/16/2025,57,1425
8,3/24/2025,58,1334
16,3/8/2025,32,672
13,11/9/2025,52,936
18,9/30/2025,62,1240
1,12/17/2025,53,795
9,12/5/2025,39,663
25,4/11/2025,27,405
1,3/2/2025,34,544
11,4/19/2025,52,1040
7,9/1/2025,31,496
3,2/22/2025,50,1100
20,7/31/2025,61,1098
20,9/12/2025,64,1088
7,7/14/2025,59,1003
11,1/30/2025,35,735
7,9/19/2025,30,450
5,6/20/2025,43,688
10,3/4/2025,33,726
12,12/7/2025,47,1081
18,7/23/2025,59,1239
24,1/18/2025,27,567
21,9/30/2025,53,1166
25,11/16/2025,42,924
23,1/27/2025,63,1323
7,4/6/2025,60,900
5,2/9/2025,36,648
7,6/1/2025,57,1083
8,12/3/2025,36,684
13,5/10/2025,24,528
4,3/24/2025,35,630
15,8/12/2025,51,816
4,2/2/2025,49,1176
3,7/19/2025,24,552
23,8/26/2025,59,1180
23,4/1/2025,53,1166
5,3/14/2025,50,850
24,12/30/2025,46,966
5,7/24/2025,43,903
12,7/18/2025,62,1240
17,12/22/2025,43,688
23,11/21/2025,44,880
22,7/18/2025,62,930
21,6/5/2025,34,748
16,1/1/2025,49,735
12,1/20/2025,37,740
25,8/31/2025,32,672
9,11/25/2025,36,684
19,11/25/2025,30,690
7,11/10/2025,55,1265
16,6/18/2025,34,782
8,7/20/2025,51,1224
13,9/5/2025,24,360
1,4/14/2025,53,954
6,3/4/2025,47,893
13,1/20/2025,39,702
21,4/2/2025,57,1254
11,8/15/2025,36,540
7,6/20/2025,49,1225
4,12/9/2025,61,1403
15,1/13/2025,35,770
9,3/27/2025,31,620
9,12/26/2025,44,968
10,3/21/2025,30,480
15,10/9/2025,33,825
23,5/5/2025,55,1265
6,5/16/2025,38,722
24,11/22/2025,33,660
6,6/30/2025,48,816
3,3/15/2025,39,702
10,1/4/2025,61,1342
15,11/16/2025,56,1008
16,10/21/2025,54,1080
5,7/2/2025,38,874
9,3/9/2025,28,672
6,7/12/2025,27,405
25,9/20/2025,32,576
22,9/11/2025,26,442
12,7/5/2025,61,1403
25,3/19/2025,57,1425
19,5/22/2025,62,1116
6,3/26/2025,28,476
4,3/8/2025,50,750
21,1/11/2025,31,713
9,7/3/2025,24,528
6,10/30/2025,39,702
6,3/16/2025,61,1037
15,2/12/2025,42,714
14,6/17/2025,42,924
7,9/20/2025,52,1092
24,10/27/2025,43,860
12,8/1/2025,41,902
23,1/10/2025,27,459
3,4/5/2025,31,589
2,7/3/2025,59,1121
2,9/28/2025,41,697
6,4/20/2025,35,840
12,1/10/2025,52,1300
7,6/14/2025,39,624
16,10/11/2025,33,627
16,5/13/2025,29,493
8,5/27/2025,46,1012
7,10/6/2025,24,456
11,4/22/2025,37,888
25,10/18/2025,40,720
23,3/12/2025,34,850
14,7/31/2025,57,1083
23,12/12/2025,38,912
3,3/3/2025,26,546
6,3/14/2025,63,1008
8,11/16/2025,27,459
6,9/20/2025,34,816
1,8/7/2025,45,900
11,8/23/2025,28,448
3,7/1/2025,30,570
23,10/25/2025,35,595
10,9/4/2025,47,705
11,11/23/2025,40,760
3,2/21/2025,24,456
14,4/21/2025,37,814
24,7/24/2025,26,572
5,2/25/2025,39,663
21,12/1/2025,37,851
9,11/14/2025,63,1386
13,4/16/2025,60,1200
17,10/25/2025,54,1026
22,8/21/2025,36,756
5,7/24/2025,31,496
20,4/7/2025,51,1020
24,11/29/2025,44,1056
2,11/19/2025,53,848
1,1/12/2025,24,504
11,10/22/2025,29,522
11,2/21/2025,53,1060
25,7/17/2025,35,875
19,1/13/2025,56,1232
6,2/9/2025,64,1344
10,5/22/2025,59,1003
24,9/5/2025,56,1232
13,11/21/2025,31,744
17,12/25/2025,29,580
8,11/8/2025,27,594
1,11/8/2025,46,1104
12,11/19/2025,42,798
17,10/20/2025,35,630
21,6/14/2025,38,722
4,4/11/2025,51,1275
13,1/12/2025,53,1219
20,2/9/2025,35,805
14,2/4/2025,53,1219
15,9/23/2025,40,840
10,5/23/2025,24,576
10,10/30/2025,35,560
18,12/17/2025,63,1197
1,2/18/2025,39,897
7,4/19/2025,38,912
8,5/13/2025,46,1058
21,7/3/2025,29,493
20,7/20/2025,46,966
17,7/5/2025,51,1275
21,2/19/2025,51,816
14,11/19/2025,52,936
11,10/30/2025,38,798
23,4/9/2025,26,390
2,5/2/2025,59,1180
19,3/17/2025,56,1120
9,10/4/2025,37,851
21,7/16/2025,64,1280
11,9/23/2025,59,1062
23,7/28/2025,36,576
5,8/8/2025,38,760
17,12/23/2025,60,1260
10,4/29/2025,44,836
25,11/3/2025,43,645
2,1/30/2025,41,1025
13,8/20/2025,58,1392
1,11/23/2025,24,600
12,6/26/2025,24,384
4,2/16/2025,58,986
22,3/21/2025,36,540
4,5/4/2025,57,912
11,11/4/2025,37,777
15,10/15/2025,58,1450
18,8/23/2025,29,435
23,3/29/2025,37,555
23,9/7/2025,64,1600
8,5/4/2025,41,820
11,6/4/2025,43,989
16,10/19/2025,63,1134
16,12/2/2025,53,1060
2,3/17/2025,32,640
1,1/23/2025,25,550
6,5/29/2025,46,690
13,5/19/2025,50,1050
6,12/11/2025,30,630
12,1/24/2025,63,1197
22,9/18/2025,35,560
4,6/10/2025,45,720
3,4/2/2025,52,1196
23,10/11/2025,44,704
8,1/2/2025,28,560
8,5/25/2025,60,1080
2,8/30/2025,62,992
25,2/25/2025,43,1075
8,10/30/2025,36,864
12,10/26/2025,44,1012
14,10/28/2025,51,1071
2,12/26/2025,63,1512
15,11/4/2025,36,756
16,3/23/2025,52,1196
25,1/30/2025,45,1125
13,1/15/2025,24,528
1,1/31/2025,58,1160
2,3/24/2025,48,960
12,9/26/2025,40,600
2,3/15/2025,25,550
19,4/6/2025,37,777
11,7/10/2025,45,900
17,11/10/2025,57,912
10,4/17/2025,26,572
11,5/11/2025,47,705
10,10/19/2025,56,1064
3,7/13/2025,45,720
11,6/13/2025,43,774
18,11/4/2025,30,600
24,10/4/2025,64,1280
7,9/6/2025,34,612
14,5/7/2025,46,736
4,7/25/2025,26,650
25,3/10/2025,56,1120
7,12/29/2025,54,1296
24,5/14/2025,48,864
6,4/16/2025,24,408
3,1/31/2025,58,1160
15,10/21/2025,29,638
5,10/4/2025,38,912
6,9/17/2025,56,840
13,10/8/2025,50,1100
17,11/16/2025,52,884
9,9/15/2025,30,570
9,12/21/2025,59,1003
8,11/5/2025,52,936
13,3/25/2025,44,1056
5,10/28/2025,57,1254
3,2/11/2025,26,390
4,5/7/2025,60,1500
18,5/8/2025,49,784
23,4/12/2025,35,560
9,7/19/2025,63,1134
13,10/31/2025,53,901
19,7/4/2025,63,945
13,7/15/2025,64,1344
12,6/9/2025,45,810
13,5/9/2025,44,660
2,5/2/2025,36,828
8,5/14/2025,30,510
9,4/29/2025,24,528
24,3/10/2025,57,1425
11,4/8/2025,29,696
2,5/20/2025,37,555
5,5/10/2025,52,988
11,11/16/2025,55,1155
7,3/12/2025,52,1196
6,1/31/2025,33,693
11,6/19/2025,31,465
1,2/15/2025,34,544
25,4/15/2025,31,589
25,2/20/2025,28,644
11,7/22/2025,35,770
13,12/2/2025,61,1403
21,11/5/2025,33,693
7,12/16/2025,36,864
5,2/17/2025,58,986
2,6/1/2025,56,896
15,10/26/2025,26,416
11,11/7/2025,41,861
20,3/27/2025,36,720
5,12/24/2025,49,1029
11,5/9/2025,54,1242
2,8/20/2025,51,867
23,12/21/2025,44,1012
15,8/19/2025,46,782
20,1/24/2025,52,832
12,6/5/2025,27,675
8,11/11/2025,61,1281
2,2/27/2025,35,805
24,7/7/2025,52,1040
16,8/31/2025,29,609
20,5/12/2025,61,1464
5,7/26/2025,30,720
7,8/2/2025,38,798
24,7/10/2025,38,912
4,2/9/2025,53,954
9,11/5/2025,32,608
5,2/13/2025,59,1062
11,3/9/2025,44,660
9,8/29/2025,55,1375
16,2/2/2025,54,1350
15,3/26/2025,54,918
10,11/21/2025,59,1298
22,6/16/2025,44,1012
7,10/7/2025,43,1032
20,3/9/2025,24,576
14,12/16/2025,35,875
3,1/15/2025,26,494
11,1/16/2025,30,570
20,3/4/2025,54,864
25,12/17/2025,41,1025
10,5/26/2025,32,768
16,5/15/2025,33,528
4,8/27/2025,49,931
24,6/12/2025,59,885
15,5/3/2025,62,1550
18,6/25/2025,51,1020
11,11/17/2025,49,931
2,1/31/2025,61,1220
6,11/23/2025,56,1232
6,11/20/2025,34,850
7,3/20/2025,36,684
8,11/13/2025,27,513
9,7/26/2025,48,960
19,11/9/2025,52,1144
13,7/6/2025,63,945
6,3/2/2025,32,576
19,7/14/2025,48,960
11,2/18/2025,26,650
2,11/18/2025,51,1020
9,12/30/2025,50,850
8,3/10/2025,56,1232
14,1/7/2025,45,990
9,1/17/2025,53,1325
10,9/30/2025,46,920
13,2/23/2025,37,814
19,6/15/2025,33,660
14,4/16/2025,34,646
22,1/21/2025,54,1134
2,8/17/2025,45,990
11,5/7/2025,46,966
13,12/4/2025,55,1100
11,9/23/2025,37,592
17,1/24/2025,61,976
4,1/20/2025,34,510
3,2/10/2025,37,925
4,3/4/2025,44,660
25,8/1/2025,35,560
19,9/28/2025,63,1386
19,7/26/2025,51,969
1,7/14/2025,38,684
7,6/10/2025,36,756
7,10/20/2025,45,675
17,10/18/2025,38,608
11,1/18/2025,45,945
10,12/22/2025,34,782
9,10/9/2025,42,882
3,3/4/2025,46,1012
14,4/14/2025,43,989
4,5/14/2025,52,1248
19,4/22/2025,50,1100
17,7/5/2025,40,600
20,2/12/2025,63,1134
6,9/1/2025,55,1155
18,11/8/2025,55,1155
5,8/1/2025,35,595
11,1/1/2025,56,1176
4,6/17/2025,48,1200
13,5/26/2025,49,735
16,6/16/2025,47,846
9,4/7/2025,37,555
8,11/14/2025,43,989
14,5/9/2025,41,779
24,9/9/2025,57,1197
22,7/19/2025,56,840
3,9/7/2025,52,884
15,8/26/2025,40,880
7,3/25/2025,63,1575
16,3/2/2025,40,720
4,11/24/2025,42,1008
2,10/8/2025,43,946
25,11/25/2025,38,874
20,5/16/2025,43,731
9,10/28/2025,37,814
15,6/18/2025,57,1254
2,11/25/2025,33,693
10,3/15/2025,64,1088
13,9/2/2025,55,880
8,9/18/2025,52,780
11,1/23/2025,47,799
24,3/15/2025,36,756
12,8/15/2025,31,558
3,12/5/2025,47,752
13,5/3/2025,24,456
22,8/26/2025,57,1197
22,4/22/2025,38,722
15,8/7/2025,44,660
13,5/17/2025,48,912
25,3/15/2025,37,777
2,3/10/2025,39,936
10,4/25/2025,33,594
7,11/8/2025,31,775
6,7/23/2025,46,1150
3,5/17/2025,48,912
6,5/3/2025,50,850
14,3/19/2025,60,1440
17,1/22/2025,42,1008
13,7/16/2025,37,740
21,1/18/2025,56,952
12,2/17/2025,58,986
17,6/3/2025,35,560
17,3/7/2025,64,1216
5,1/18/2025,46,782
4,6/1/2025,64,1088
17,10/11/2025,32,800
23,10/3/2025,58,1218
11,9/4/2025,25,625
1,7/30/2025,58,1044
1,8/30/2025,63,1512
24,5/27/2025,61,1403
19,5/7/2025,32,576
14,10/15/2025,38,760
23,9/24/2025,51,1020
19,1/24/2025,44,1100
9,12/19/2025,37,555
1,4/1/2025,55,1045
6,1/21/2025,48,768
17,7/13/2025,35,560
19,10/31/2025,29,667
11,10/19/2025,24,360
3,4/24/2025,57,1311
3,11/16/2025,38,722
19,1/20/2025,49,980
20,3/5/2025,57,1197
1,8/28/2025,55,990
18,10/4/2025,43,774
24,4/24/2025,43,731
21,12/23/2025,63,1386
22,6/11/2025,30,570
3,5/25/2025,41,902
7,12/15/2025,46,1104
19,7/19/2025,26,520
18,9/26/2025,60,1260
5,12/10/2025,34,850
1,1/27/2025,39,624
15,8/3/2025,64,1152
12,11/22/2025,62,1302
2,3/21/2025,26,572
2,4/14/2025,53,1166
6,7/8/2025,60,1140
24,7/3/2025,39,702
9,10/14/2025,42,798
9,10/29/2025,34,646
5,9/28/2025,48,912
4,7/2/2025,60,1440
1,5/24/2025,56,1008
18,9/28/2025,47,752
6,12/10/2025,48,768
23,5/7/2025,40,880
16,11/20/2025,25,625
5,12/16/2025,55,1100
21,12/3/2025,39,702
2,4/1/2025,51,1275
18,1/2/2025,41,697
11,8/7/2025,38,722
10,6/9/2025,51,1122
13,3/8/2025,29,464
22,3/1/2025,29,667
2,7/14/2025,31,775
23,8/11/2025,48,864
8,2/17/2025,62,1240
11,2/26/2025,49,735
13,10/8/2025,62,1054
20,11/6/2025,52,1196
21,10/8/2025,48,1104
23,12/30/2025,25,450
13,1/24/2025,49,1078
6,1/31/2025,26,598
14,12/3/2025,38,608
2,8/1/2025,26,390
6,3/7/2025,27,432
24,11/22/2025,57,1368
23,12/2/2025,27,459
11,7/6/2025,24,528
24,2/8/2025,42,798
21,1/17/2025,46,1012
12,2/6/2025,47,1034
